DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,FR,2019,15.5,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,FR,2020,14.2,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,FR,2021,14.1,d
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,FR,2022,12.8,d
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HR,2013,19.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HR,2014,26.5,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HR,2015,21.7,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HR,2016,17.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HR,2017,20.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HR,2018,11.4,u
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HR,2019,7.5,u
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HR,2020,10.4,u
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HR,2021,12.1,u
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HR,2022,14.0,u
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HU,2013,22.1,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HU,2014,18.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HU,2015,17.7,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HU,2016,12.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HU,2017,11.0,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HU,2018,10.2,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HU,2019,9.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HU,2020,10.8,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HU,2021,11.5,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,HU,2022,11.4,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IE,2013,20.2,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IE,2014,18.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IE,2015,15.8,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IE,2016,13.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IE,2017,11.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IE,2018,11.8,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IE,2019,9.0,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IE,2020,9.0,u
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IE,2021,13.5,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IE,2022,10.7,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IS,2013,7.4,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IS,2014,5.4,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IS,2015,6.2,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IS,2016,4.7,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IS,2017,4.5,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IS,2018,4.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IS,2019,4.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IS,2020,7.7,b
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IS,2021,9.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IS,2022,6.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IT,2013,17.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IT,2014,18.7,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IT,2015,16.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IT,2016,17.4,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IT,2017,17.8,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IT,2018,17.1,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IT,2019,16.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IT,2020,15.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IT,2021,16.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,IT,2022,14.8,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LT,2013,35.0,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LT,2014,32.2,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LT,2015,27.2,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LT,2016,23.2,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LT,2017,16.8,u
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LT,2018,15.5,u
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LT,2019,20.7,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LT,2020,22.7,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LT,2021,17.6,u
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LT,2022,20.4,u
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LU,2013,11.2,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LU,2014,9.7,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,LU,2015,11.4,b
